index,card,v1,colors,group,icon,petitioner,respondent,altTitle,winner,term,docket,consolidated,scdb,citation,lba,oxford,timeplots,author,majority,minority,argued,decided,category,issue,legalBasis,legalIssue,overruled,overruledBy,quote,quotee,briefs,audio,transcripts,opinion,oyez,wikipedia,conlaw.us,cspan,justices,justiceIDs,dissented,recused
1,051,51,8,A3S2,,Chisholm,Georgia,,petitioner,February Term 1793,,,1793-001,2 U.S. 419,1,54,1,,4,1,1793-02-05,1793-02-19,Federalism,Sovereign Immunity of States,"Article III § 2: Federal Judicial Power","national supremacy: commodities",,,"""When so many trains of deduction, coming from different quarters, converge and unite at last in the same point, we may safely conclude…that the State of Georgia is amenable to the jurisdiction of this court.""",Justice James Wilson,,,,,"https://www.oyez.org/cases/1789-1850/2us419","https://en.wikipedia.org/wiki/Chisholm_v._Georgia","https://conlaw.us/case/chisholm-v-georgia-1879/",,"John Jay,William Cushing,James Wilson,John Blair","1,3,4,5",James Iredell,
2,,,,,,Penhallow,Doane's Administrators,,respondent,October Term 1795,,,1795-002,3 U.S. 54,,,,,6,0,"1795-02-06,1795-02-09,1795-02-10,1795-02-11,1795-02-12,1795-02-13,1795-02-14,1795-02-16",1795-02-24,Judicial Power,,Infrequently litigated statutes,"judicial administration: jurisdiction or authority of federal courts of appeals",,,,,,,,,,,,,"John Jay,William Cushing,James Wilson,John Blair,James Iredell,William Paterson","1,3,4,5,6,8",,
3,090,,8,A6C2,,Ware,Hylton,,petitioner,October Term 1796,,,1796-003,3 U.S. 199,1,,,,5,0,"1796-02-06,1796-02-08,1796-02-09,1796-02-10,1796-02-11,1796-02-12",1796-03-07,Federalism,State Law and\\The Treaty of Paris,"Article VI, Section 2 (supremacy clause)","national supremacy: commodities",,,"""I have trembled lest by an ill informed or precipitate opinion of mine, either the honor, the interest, or the safety of the United States should suffer or be endangered….""",Justice James Iredell,,,,,"https://www.oyez.org/cases/1789-1850/3us199","https://en.wikipedia.org/wiki/Ware_v._Hylton",,,"William Cushing,James Wilson,James Iredell,William Paterson,Samuel Chase","3,4,6,8,9",,
4,,,,,,Hylton,United States,,respondent,October Term 1796,,,1796-004,3 U.S. 171,,,,,4,0,"1796-02-23,1796-02-24,1796-02-25",1796-03-08,Federal Taxation,,"Article I, Section 8, Paragraph 1 (taxing, spending, general welfare, or uniformity clause)","federal taxation, typically under provisions of the Internal Revenue Code",,,,,,,,,,"https://en.wikipedia.org/wiki/Hylton_v._United_States",,,"James Wilson,James Iredell,William Paterson,Samuel Chase","4,6,8,9",,"Oliver Ellsworth,William Cushing"
5,,,,,,Calder,Bull,,respondent,October Term 1798,,,1798-005,3 U.S. 386,,,,,4,0,"1798-02-08,1798-02-13",1798-08-08,Criminal Procedure,,"Article I, Section 10 (state bill of attainder, ex post facto law, or bills of credit)",ex post facto (state),,,,,,,,,"https://www.oyez.org/cases/1789-1850/3us386","https://en.wikipedia.org/wiki/Calder_v._Bull",,,"William Cushing,James Iredell,William Paterson,Samuel Chase","3,6,8,9",,"Oliver Ellsworth,James Wilson"
6,,,,,,Bas,Tingy,,respondent,October Term 1800,,,1800-009,4 U.S. 37,,,,,6,0,1800-08-14,1800-08-15,Economic Activity,,Infrequently litigated statutes,"federal and some few state regulations of transportation regulation: boat",,,,,,,,,,"https://en.wikipedia.org/wiki/Bas_v._Tingy",,,"Oliver Ellsworth,William Cushing,William Paterson,Samuel Chase,Bushrod Washington,Alfred Moore","3,8,9,10,11,12",,
7,104,102,8,A3S2,,Marbury,Madison,,respondent,February Term 1803,,,1803-005,5 U.S. 137,1,173,2,John Marshall,4,0,"1803-02-10,1803-02-11",1803-02-24,Judicial Power,Judiciary Act of 1789,Judicial Review,"judicial administration: Supreme Court's original jurisdiction",,,"""It is emphatically the duty of the Judicial Department to say what the law is.""",Chief Justice John Marshall,,,,,"https://www.oyez.org/cases/1789-1850/5us137","https://en.wikipedia.org/wiki/Marbury_v._Madison","https://conlaw.us/case/marbury-v-madison-1803/","http://landmarkcases.c-span.org/Case/1/Marbury-V-Madison","John Marshall,William Paterson,Samuel Chase,Bushrod Washington","13,8,9,11",,"William Cushing,Alfred Moore"
8,,,,,,Stuart,Laird,,respondent,October Term 1803,,,1803-018,5 U.S. 299,,,,William Paterson,4,0,"1803-02-23,1803-02-24",1803-03-02,Judicial Power,,Infrequently litigated statutes,"judicial administration: jurisdiction or authority of federal district courts or territorial courts",,,,,,,,,,"https://en.wikipedia.org/wiki/Stuart_v._Laird",,,"William Paterson,Samuel Chase,Bushrod Washington,Alfred Moore","8,9,11,12",,"John Marshall,William Cushing"
9,N,,,,,Ex parte Bollman,,,petitioner,October Term 1807,,,1807-009,8 U.S. 75,1,,,John Marshall,3,1,"1807-02-16,1807-02-17,1807-02-18,1807-02-19,1807-02-20",1807-02-20,Criminal Procedure,,Infrequently litigated statutes,habeas corpus,,,,,,,,,,,,,"John Marshall,Bushrod Washington,Brockholst Livingston",,William Johnson,"William Cushing,Samuel Chase"
10,,,,,,Fletcher,Peck,,respondent,October Term 1810,,,1810-027,10 U.S. 87,1,,3,John Marshall,4,1,"1809-03-01,1809-03-02,1809-03-03,1809-03-04",1810-03-16,Economic Activity,,"Article I, Section 10, Paragraph 1 (contract clause)","state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)",,,,,,,,,,"https://en.wikipedia.org/wiki/Fletcher_v._Peck",,,"John Marshall,Bushrod Washington,Brockholst Livingston,Thomas Todd","13,11,15,16",William Johnson,"William Cushing,Samuel Chase"
11,N,,,,,Martin,Hunter's Lessee,,petitioner,October Term 1816,,,1816-034,14 U.S. 304,1,,4,Joseph Story,6,0,"1816-03-12,1816-03-13,1816-03-14",1816-03-20,Judicial Power,,Infrequently litigated statutes,"judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from highest state court",,,,,,,,,,,,,"Bushrod Washington,William Johnson,Brockholst Livingston,Thomas Todd,Gabriel Duvall,Joseph Story",,,John Marshall
12,,,,,,Dartmouth College,Woodward,,petitioner,October Term 1819,,,1819-021,17 U.S. 518,1,,,John Marshall,5,1,"1818-03-10,1818-03-11,1818-03-12",1819-02-25,Economic Activity,,"Article I, Section 10, Paragraph 1 (contract clause)","state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)",,,,,,,,,,"https://en.wikipedia.org/wiki/Dartmouth_College_v._Woodward",,,"John Marshall,Bushrod Washington,William Johnson,Brockholst Livingston,Joseph Story","13,11,14,15,18",Gabriel Duvall,Thomas Todd
13,077,23,8,A1S8C18,,McCulloch,Maryland,,petitioner,February Term 1819,,,1819-023,17 U.S. 316,1,182,5,John Marshall,6,0,"1819-02-22,1819-02-23,1819-02-24,1819-02-25,1819-02-26,1819-02-27,1819-03-01,1819-03-02,1819-03-03",1819-03-06,Federalism,Second Bank of the United States,"Article I § 8: Necessary and Proper Clause","national supremacy: state tax (cf. state tax)",,,"""To make a law constitutional, nothing more is necessary than that it should be fairly adapted to carry into effect some specific power given to Congress.""",Chief Justice John Marshall,,,,,"https://www.oyez.org/cases/1789-1850/17us316","https://en.wikipedia.org/wiki/McCulloch_v._Maryland","https://conlaw.us/case/mcculloch-v-maryland-1819/","http://landmarkcases.c-span.org/Case/16/McCulloch-v-Maryland","John Marshall,Bushrod Washington,William Johnson,Brockholst Livingston,Gabriel Duvall,Joseph Story","13,11,14,15,17,18",,Thomas Todd
14,N,,,,,Cohens,Virginia,,respondent,October Term 1821,,,1821-018,19 U.S. 264,1,,,John Marshall,6,0,"1821-02-13,1821-02-19,1821-02-20,1821-03-02",1821-03-05,Judicial Power,,Infrequently litigated statutes,"judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from highest state court",,,,,,,,,,,,,"John Marshall,William Johnson,Brockholst Livingston,Thomas Todd,Gabriel Duvall,Joseph Story",,,Bushrod Washington
15,,,,,,Green,Biddle,,,October Term 1823,,,1823-006,21 U.S. 1,,,,Bushrod Washington,4,1,1821-02-16,1823-02-27,Economic Activity,,"Article I, Section 10, Paragraph 1 (contract clause)",state and territorial land claims,,,,,,,,,,"https://en.wikipedia.org/wiki/Green_v._Biddle",,,"John Marshall,Bushrod Washington,Gabriel Duvall,Joseph Story","11,13,17,18",William Johnson,"Brockholst Livingston,Thomas Todd"
16,024,75,8,A1S8C3,,Gibbons,Ogden,,petitioner,February Term 1824,1148,,1824-012,22 U.S. 1,1,104,6,John Marshall,6,0,"1824-02-04,1824-02-05,1824-02-06,1824-02-07,1824-02-09",1824-03-02,Economic Activity,Navigation of State Waters,"Article I § 8: Commerce Clause","federal and some few state regulations of transportation regulation: boat",,,"""This decree is erroneous because the laws which purport to give the exclusive privilege it sustains are repugnant to the Constitution.""",Chief Justice John Marshall,,,,,"https://www.oyez.org/cases/1789-1850/22us1","https://en.wikipedia.org/wiki/Gibbons_v._Ogden","https://conlaw.us/case/gibbons-v-ogden-1824/",,"John Marshall,Bushrod Washington,William Johnson,Thomas Todd,Gabriel Duvall,Joseph Story","13,11,14,16,17,18",,Smith Thompson
17,N,,,,,Osborn,Bank of United States,,respondent,October Term 1824,,,1824-033,22 U.S. 738,1,,,John Marshall,5,1,"1824-02-10,1824-02-11,1824-03-10,1824-03-11",1824-03-19,Federalism,,"Article VI, Section 2 (supremacy clause)","national supremacy: state tax (cf. state tax)",,,,,,,,,,,,,"John Marshall,Bushrod Washington,Gabriel Duvall,Joseph Story,Smith Thompson",,William Johnson,Thomas Todd
18,,,,,,Montgomery,Hernandez,,respondent,October Term 1827,,,1827-022,25 U.S. 129,,,,Robert Trimble,7,0,1827-02-14,1827-02-22,Judicial Power,,Infrequently litigated statutes,"judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from highest state court",,,,,,,,,,,,,"John Marshall,Bushrod Washington,William Johnson,Gabriel Duvall,Joseph Story,Smith Thompson,Robert Trimble","20,11,13,14,17,18,19",,
19,N,,,,,Brown,Maryland,,petitioner,October Term 1827,,,1827-039,25 U.S. 419,2,,,John Marshall,6,1,"1827-02-29,1827-03-01",1827-03-12,Economic Activity,,"Article I, Section 10, Paragraph 2 (export-import clause)",state or local government tax,,,,,,,,,,,,,"John Marshall,Bushrod Washington,William Johnson,Gabriel Duvall,Joseph Story,Robert Trimble",,Smith Thompson,
20,N,,,,,Ogden,Saunders,,petitioner,October Term 1827,,,1827-041,25 U.S. 213,2,,,,4,3,"1827-01-18,1827-01-19,1827-01-20",1827-03-13,Civil Rights,,"Article I, Section 10, Paragraph 1 (contract clause)",debtors' rights,,,,,,,,,,,,,"Bushrod Washington,William Johnson,Smith Thompson,Robert Trimble",,"John Marshall,Gabriel Duvall,Joseph Story",
21,N,,,,,American Ins. Co.,356 Bales of Cotton,,respondent,October Term 1828,,,1828-050,26 U.S. 511,2,,,John Marshall,7,0,"1828-03-08,1828-03-10,1828-03-11",1828-03-15,Federalism,,"Article III, Section 1, Paragraph 1 (judicial power)","national supremacy: commodities",,,,,,,,,,,,,"John Marshall,Bushrod Washington,William Johnson,Gabriel Duvall,Joseph Story,Smith Thompson,Robert Trimble",,,
22,,,,,,Craig,Missouri,,petitioner,October Term 1830,,,1830-039,29 U.S. 410,,,,John Marshall,4,3,"1830-03-02,1830-03-03",1830-03-12,Economic Activity,,"Article I, Section 10, Paragraph 1 (contract clause)","state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)",,,,,,,,,,,,,"John Marshall,Gabriel Duvall,Joseph Story,Henry Baldwin","13,17,18,22","William Johnson,Smith Thompson,John McLean",
23,,,,,,Cherokee Nation,Georgia,,respondent,October Term 1831,,,1831-041,30 U.S. 1,2,,,John Marshall,4,2,"1831-03-12,1831-03-14",1831-03-18,Civil Rights,,Treaty,"Indians, state jurisdiction over",,,,,,,,,,"https://en.wikipedia.org/wiki/Cherokee_Nation_v._Georgia",,,"John Marshall,William Johnson,John McLean,Henry Baldwin","13,14,21,22","Joseph Story,Smith Thompson",Gabriel Duvall
24,,,,,,Barron,Baltimore,,respondent,October Term 1833,,,1833-012,32 U.S. 243,,,,John Marshall,6,0,"1833-02-08,1833-02-11",1833-02-16,Due Process,,5th Amendment (takings clause),"due process: takings clause, or other non-constitutional governmental taking of property",,,,,,,,,"https://www.oyez.org/cases/1789-1850/32us243","https://en.wikipedia.org/wiki/Barron_v._Baltimore","https://conlaw.us/case/barron-v-city-of-baltimore-1833/",,"John Marshall,William Johnson,Gabriel Duvall,Joseph Story,Smith Thompson,John McLean","13,14,17,18,19,21",,Henry Baldwin
25,,,,,,Wheaton,Peters,,petitioner,October Term 1834,,,1834-061,33 U.S. 591,,,,John McLean,4,2,"1834-03-11,1834-03-12,1834-03-13,1834-03-14",1834-03-19,Economic Activity,,Infrequently litigated statutes,"patents and copyrights: copyright",,,,,,,,,,"https://en.wikipedia.org/wiki/Wheaton_v._Peters",,,"John Marshall,Gabriel Duvall,Joseph Story,John McLean","21,13,17,18","Smith Thompson,Henry Baldwin",William Johnson
26,,,,,,Charles River Bridge,Warren Bridge,,respondent,October Term 1837,,,1837-015,36 U.S. 420,2,,,Roger Taney,4,3,"1831-03-07,1831-03-08,1831-03-09,1831-03-10,1831-03-11",1837-02-14,Economic Activity,,"Article I, Section 10, Paragraph 1 (contract clause)","state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)",,,,,,,,,,,,,"Roger Taney,Henry Baldwin,James Wayne,Philip Barbour","24,22,23,25","Joseph Story,Smith Thompson,John McLean",
28,,,,,,New York,Miln,,,October Term 1837,,,1837-016,36 U.S. 102,2,,,Philip Barbour,6,1,"1837-01-27,1837-01-28",1837-02-16,Economic Activity,,"Article I, Section 8, Paragraph 3 (interstate commerce clause)","state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)",,,,,,,,,"https://www.oyez.org/cases/1789-1850/36us102",,,,"Roger Taney,Smith Thompson,John McLean,Henry Baldwin,James Wayne,Philip Barbour","25,19,21,22,23,24",Joseph Story,
29,,,,,,Bank of Augusta,Earle,,petitioner,October Term 1839,,,1839-050,38 U.S. 519,2,,,Roger Taney,8,1,"1839-01-30,1839-01-31,1839-02-01",1839-03-09,Economic Activity,,"Article I, Section 8, Paragraph 3 (interstate commerce clause)","state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)",,,,,,,,,,,,,"Roger Taney,Joseph Story,Smith Thompson,John McLean,Henry Baldwin,James Wayne,Philip Barbour,John Catron","24,18,19,21,22,23,25,26",John McKinley,
